page_content,source,title,category,chunk_id,article
차. 외국정부(외국,./tax_docs/with_markdown-sample.docx,"소득세 감면 및 공제 대상: 해외근무 급여, 보훈급여, 전직연금, 군인 급여, 전사 급여, 북한지역 근로소득, 건강",근로소득,chunk_011,28
저. 대통령령으로 ,./tax_docs/with_markdown-sample.docx,공적연금 및 기타소득 과세 범위 공적연금 및 관련 수당 국가보훈 및 상금보로금,근로소득,chunk_012,21
5) 종교관련종사자,./tax_docs/with_markdown-sample.docx,소득세법 핵심 요약: 종합소득 과세표준 계산: 종합소득금액에서 이자배당사업근로,납세의무,chunk_013,12
7. 해당 과세기간,./tax_docs/with_markdown-sample.docx,"분리과세 규정: 총수입 2천만원 이하 주택임대소득 및 특정 기타소득연금외수령 연금, 복권",납세의무,chunk_014,21
1. 제14조에 따,./tax_docs/with_markdown-sample.docx,소득세 세액 계산 순서 1. 과세표준에 기본세율 적용 종합소득 및 퇴직소득 산출,납세의무,chunk_015,14
[전문개정 2009,./tax_docs/with_markdown-sample.docx,"이자소득 범위: 국가내국외국 채권, 국내 예금 이자 등 다양한 금융상품에서 발생하는 이익 포함.",이자배당,chunk_016,15
4. 「상호저축은행,./tax_docs/with_markdown-sample.docx,소득세법 핵심 제목: 이자소득 및 배당소득 범위 확대 417조,납세의무,chunk_017,5
7. 「국제조세조정,./tax_docs/with_markdown-sample.docx,"의제배당 및 자본전입 관련 규정 주식 소각자본 감소로 인한 이익 배당, 잉여금 자본 전입,",납세의무,chunk_018,27
5. 법인이 자기주,./tax_docs/with_markdown-sample.docx,배당소득 규정: 내국법인 및 법인 단체로부터의 이익 배당분배금,이자배당,chunk_019,132
제17조(배당소득),./tax_docs/with_markdown-sample.docx,"배당소득 범위: 내국법인 배당, 법인 신탁재산 배당, 의제배당, 집합투자기구 이익, 외국법인 배당,",납세의무,chunk_020,17
가. 「상법」에 따,./tax_docs/with_markdown-sample.docx,법인 조직변경 및 배당소득 과세 규정 조직변경 시 자본전입 및 합병분할 관련 배당소득 과세,이자배당,chunk_021,132
⑤ 제2항을 적용할,./tax_docs/with_markdown-sample.docx,"사업소득 범위 및 계산 사업소득 정의: 농업, 임업, 광업, 제조업 등 다양한 업종별",납세의무,chunk_022,17
21. 제1호부터 ,./tax_docs/with_markdown-sample.docx,사업소득 및 근로소득 정의: 사업소득과 근로소득은 각각 계속적 반복 활동으로 얻는 수익과 근로 제공에 따른 급여,납세의무,chunk_023,22
나. 제59조의3에,./tax_docs/with_markdown-sample.docx,연금 및 기타소득 과세 범위 연금소득: 공적연금 기여금 및 근로 제공 기반 연금소득 200,세율계산,chunk_024,59
7. 광업권ㆍ어업권,./tax_docs/with_markdown-sample.docx,"소득원천 다양화 및 특수소득 범위: 광업권, 대여소득, 전자상거래 중개소득, 공익사업 관련 소득, 계약위",납세의무,chunk_025,4
나. 라디오ㆍ텔레비,./tax_docs/with_markdown-sample.docx,"기타소득의 범위: 상금, 복권당첨금, 불법 사행행위 이익 등",납세의무,chunk_026,67
"1. 상금, 현상금",./tax_docs/with_markdown-sample.docx,"소득세 과세 대상 금품 및 자산: 상금, 경품, 복권 당첨금, 특정 행위 참가 이익, 투표권 환급금, 저작권 양도 대가,",납세의무,chunk_027,4
14. 슬롯머신(비,./tax_docs/with_markdown-sample.docx,"기타소득 범위: 창작품원고료, 저작권사용료 등, 강연료, 전문용역, 주식매수선택",기타소득,chunk_028,67
③ 기타소득금액은 ,./tax_docs/with_markdown-sample.docx,"퇴직소득 계산 및 범위 퇴직소득: 공적연금 일시금, 퇴직 사용자 부담금 기반 소득, 유사 소득 대통령",납세의무,chunk_029,20
제1관 총수입금액 ,./tax_docs/with_markdown-sample.docx,"총수입금액 계산 및 특례: 거주자의 총수입은 과세기간 수입액 합계로 계산되며, 부동산 대여 보증금 등 특수 상황",납세의무,chunk_030,24
③ 거주자의 사업소,./tax_docs/with_markdown-sample.docx,사업소득 필요경비 산정 및 이월 배제 필요경비 계산: 총수입금액에 대응하는 일반적,납세의무,chunk_031,52
② 해당 과세기간 ,./tax_docs/with_markdown-sample.docx,"필요경비 계산 특례: 대손충당금, 퇴직급여충당금, 보험차익 활용 자산 취득 비용 인정",근로소득,chunk_032,28
1. 보험차익 상당,./tax_docs/with_markdown-sample.docx,국고보조금 사용 및 필요경비 적용 국고보조금으로 사업용 자산 취득개량 시 기한 내 사용 불가 시,납세의무,chunk_033,32
5. 대통령령으로 ,./tax_docs/with_markdown-sample.docx,"필요경비 불산입: 소득세 및 벌금 등 특정 비용 제외, 가사 경비, 감가상각 초과분, 일부 자산 손실,",납세의무,chunk_034,39
9. 부가가치세의 ,./tax_docs/with_markdown-sample.docx,업무용승용차 관련 비용 특례 업무 사용승용차 취득임차 비용 중 업무용 사용 범위 외 감가상각,사업소득,chunk_035,33
1. 업무용승용차별,./tax_docs/with_markdown-sample.docx,업무용승용차 관련 비용 필요경비 산입 및 보고 규정,사업소득,chunk_036,160
2. 필요경비 산입,./tax_docs/with_markdown-sample.docx,기업업무추진비 필요경비 불산입 기업업무추진비 정의 및 한도 초과 시 불산입 특례,납세의무,chunk_037,59
1. 다음 각 목의,./tax_docs/with_markdown-sample.docx,기업업무추진비 필요경비 산정 및 한도 규정,납세의무,chunk_038,160
2. 제21조제1항,./tax_docs/with_markdown-sample.docx,기타소득 필요경비 계산 총수입금액 대응 비용 산입: 일반적 통상 비용 합계 특정 당첨금품,납세의무,chunk_039,21
제38조 삭제 <2,./tax_docs/with_markdown-sample.docx,"소득금액 계산 및 자산 평가 기준 총수입 및 필요경비 귀속연도, 자산 취득가액 및 평가 기준 명시",납세의무,chunk_040,38
② 제1항에 따른 ,./tax_docs/with_markdown-sample.docx,"소득세 계산 특례: 비거주자 거래 소득 조정, 공동사업 소득 분배, 상속 시 소득 구분 및 연금계좌 승계 규정",납세의무,chunk_041,42
③ 제2항에 따른 ,./tax_docs/with_markdown-sample.docx,소득세법 제45조: 결손금 및 이월결손금 공제 사업소득 결손금과 부동산임대업 이월결,납세의무,chunk_042,45
⑥ 제1항과 제2항,./tax_docs/with_markdown-sample.docx,이자소득 계산 특례: 채권 발행법인으로부터 이자 지급 시 거주자의 보유기간에 따라 소득금액 계산. 입증 불가 시 원천징,납세의무,chunk_043,46
③ 제1항 및 제2,./tax_docs/with_markdown-sample.docx,이자소득 계산 특례: 채권 발행 법인으로부터 이자 지급 또는 매도 시 보유 기간에 따른 이자 상당액을 이자소득으로 간주하여,납세의무,chunk_044,46
제5관 근로소득공제,./tax_docs/with_markdown-sample.docx,"소득세 공제 규정: 근로소득, 연금소득, 퇴직소득 공제 적용 및 한도 명시",납세의무,chunk_045,47
③ 제1항과 제2항,./tax_docs/with_markdown-sample.docx,종합소득 기본공제 및 추가공제 규정 기본공제: 거주자 및 가족 구성원별 연 15,납세의무,chunk_046,49
1. 70세 이상인,./tax_docs/with_markdown-sample.docx,"소득세 인적공제 및 연금공제 인적공제: 경로우대자, 장애인, 특정 조건",납세의무,chunk_047,50
② 주택담보노후연금,./tax_docs/with_markdown-sample.docx,근로소득자 주택임차자금 원리금 상환액 공제,납세의무,chunk_048,52
1. 삭제<2014,./tax_docs/with_markdown-sample.docx,주택 취득 및 저당차입금 이자 공제 세대주외국인 포함가 기준시가 6억원 이하 주택 취득 시,납세의무,chunk_049,87
5. 주택에 대한 ,./tax_docs/with_markdown-sample.docx,장기주택저당차입금 이자 공제 한도 조정 고정금리비거치식 분할상환 시 공제 한도,납세의무,chunk_050,53
③ 거주자의 부양가,./tax_docs/with_markdown-sample.docx,"소득세 종합공제 및 세액공제 특례 거주자 본인 및 부양가족 공제, 특수관계인 지출 공제 적용 범위 명시",납세의무,chunk_051,50
제55조(세율) ①,./tax_docs/with_markdown-sample.docx,"소득세 세율 적용: 종합소득 과세표준에 따라 차등 적용되는 세율 구조 예: 1,400만",납세의무,chunk_052,55
③ 삭제<2003.,./tax_docs/with_markdown-sample.docx,소득세 공제 확대 및 전자화 관련 조항 기장세액공제: 간편장부대상자의 복식부기,납세의무,chunk_053,14
② 제1항(외국소득,./tax_docs/with_markdown-sample.docx,외국납부세액공제 특례: 간접투자회사 등으로부터 받은 소득에 대한 세액공제 적용 조건 명시 과,납세의무,chunk_054,33
나. 「부동산투자회,./tax_docs/with_markdown-sample.docx,간접투자소득 세액공제 거주자에게 지급된 간접투자회사 소득에 대한 세액 공제 규정 외국법인세,납세의무,chunk_055,5
1. 재해 발생일 ,./tax_docs/with_markdown-sample.docx,재해 발생 시 소득세 공제: 천재재해로 자산의 20 이상 손실 시 소득세액 공제 적용,납세의무,chunk_056,56
⑧ 재해손실세액공제,./tax_docs/with_markdown-sample.docx,근로소득 세액공제: 근로소득자에게 총급여액에 따른 세액 공제 제공 최대 한도 명시.,납세의무,chunk_057,58
3. 출산하거나 입,./tax_docs/with_markdown-sample.docx,자녀세액공제: 출산입양 자녀 셋째 이상 시 연 70만원 공제,납세의무,chunk_058,59
⑤ 제1항부터 제4,./tax_docs/with_markdown-sample.docx,소득세 특별공제: 근로소득자의 의료비 및 장애인 전용보험료 공제,납세의무,chunk_059,59
4. 대통령령으로 ,./tax_docs/with_markdown-sample.docx,"교육비 공제: 근로소득자가 배우자, 직계비속 등 가족에게 지급한 교육비유아교육부터 고등교육까지,",납세의무,chunk_060,2
2. 해당 거주자를,./tax_docs/with_markdown-sample.docx,"교육비 및 기부금 세액공제 교육비: 교육비 지출 합산 대학대학원 교육비, 직업훈련 수강료, 학자금 대출",납세의무,chunk_061,36
가. 종교단체에 기,./tax_docs/with_markdown-sample.docx,소득세 공제 및 세액공제 규정 종교기부금 공제: 종합소득금액에서 기부금 차감 후 10 적용,납세의무,chunk_062,62
2. 종합소득이 있,./tax_docs/with_markdown-sample.docx,종합소득세 감면 및 세액공제 규정: 성실사업자 기준에 따른 세액공제 적용,납세의무,chunk_063,122
